k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
2095,18.25,17.885,4.571428571428571,4.4799999999999995,0.7142857142857142,0.7,12.551020408163266,12.3,0.0,0.0,0.0,47.91520799999034,46.95690383999054,1412.4,2604.9,-1.0,47.91520799999034,0.0,687.8,0.02,0,1.0
2096,17.5,17.15,4.5,4.41,0.7142857142857142,0.7,13.36734693877551,13.1,0.0,0.0,0.0,47.915256000001136,46.956950880001116,1411.6000000000001,2604.9,-1.0,47.915256000001136,0.0,657.9,0.02,0,1.0
2097,17.833333333333332,17.476666666666667,4.479591836734693,4.39,0.7142857142857142,0.7,14.081632653061225,13.8,0.0,0.0,0.0,47.91530399999829,46.95699791999832,1410.8000000000002,2604.9,-12.0,47.91530399999829,0.0,650.9,0.02,0,1.0
2098,0.0,0.0,7.387755102040817,7.24,0.6122448979591837,0.6,14.387755102040815,14.1,0.0,0.0,0.0,71.9153520000009,70.47704496000088,1409.6000000000001,2604.9,5.0,71.9153520000009,0.0,611.1,0.02,0,1.0
2099,21.416666666666668,20.988333333333333,7.3061224489795915,7.159999999999999,0.6122448979591837,0.6,13.775510204081632,13.5,0.0,0.0,0.0,47.915423999997984,46.95711551999803,1408.8000000000002,2604.9,-2.0,47.915423999997984,0.0,613.4,0.02,0,1.0
2100,19.833333333333332,19.436666666666664,7.214285714285714,7.07,0.6122448979591837,0.6,12.346938775510205,12.1,0.0,0.0,0.0,47.915472000008776,46.9571625600086,1408.0,2604.9,-3.0,47.915472000008776,0.0,628.5,0.01,0,1.0
2101,20.416666666666668,20.008333333333333,4.530612244897959,4.4399999999999995,0.6122448979591837,0.6,12.959183673469386,12.7,0.0,0.0,0.0,47.915519999992284,46.95720959999244,1407.2,2604.9,-2.0,47.915519999992284,0.0,675.1,0.01,0,1.0
2102,17.583333333333336,17.23166666666667,4.459183673469388,4.37,0.6122448979591837,0.6,12.653061224489797,12.4,0.0,0.0,0.0,47.915567999989435,46.957256639989644,1406.4,2604.9,0.0,47.915567999989435,0.0,786.1,0.01,0,1.0
2103,16.583333333333336,16.251666666666665,4.520408163265307,4.43,0.6122448979591837,0.6,12.959183673469386,12.7,0.0,0.0,0.0,47.91561600000023,46.95730368000022,1405.6000000000001,2604.9,1.0,47.91561600000023,0.0,785.6,0.01,0,1.0
2104,18.583333333333336,18.21166666666667,4.5,4.41,0.6122448979591837,0.6,14.183673469387754,13.9,0.0,0.0,0.0,47.91566399999738,46.95735071999743,1404.8000000000002,2604.9,0.0,47.91566399999738,0.0,817.5,0.01,0,1.0
