k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
28,0.0,0.0,1.574468085106383,1.48,0.6382978723404256,0.6,10.638297872340424,10.0,-59999987.148936175,0.0,0.0,0.0,60000000.0,1891.4503171106335,1864.5600000000002,0.0,0.0,15.199999999999998,-0.3,12.65,0.0
29,0.0,0.0,1.5319148936170213,1.44,0.6382978723404256,0.6,9.680851063829788,9.1,-59999988.14893621,0.0,0.0,0.0,60000000.0,1891.431402607517,1864.5600000000002,0.0,0.0,14.2,-0.7,12.65,0.0
30,0.0,0.0,1.5425531914893615,1.45,0.6382978723404256,0.6,9.787234042553191,9.2,-59999988.0319149,0.0,0.0,0.0,60000000.0,1891.4124882936012,1864.5600000000002,0.0,0.0,14.2,-0.7,12.04,0.0
31,0.0,0.0,1.4893617021276595,1.4,0.6382978723404256,0.6,10.000000000000002,9.4,-59999987.87234045,0.0,0.0,0.0,60000000.0,1891.3935741686082,1864.5600000000002,0.0,0.0,14.2,-0.9,12.04,0.0
32,0.0,0.0,1.5106382978723403,1.42,0.6382978723404256,0.6,13.404255319148936,12.6,-59999984.44680851,0.0,0.0,0.0,60000000.0,1891.3746602328029,1864.5600000000002,0.0,0.0,17.3,-0.9,12.04,0.0
33,0.0,0.0,1.4893617021276595,1.4,0.6382978723404256,0.6,15.425531914893618,14.5,-59999982.44680856,0.0,0.0,0.0,60000000.0,1891.3557464862645,1864.5600000000002,0.0,0.0,19.3,-1.0,12.04,0.0
34,0.0,0.0,1.5319148936170213,1.44,0.6382978723404256,0.6,15.74468085106383,14.8,-59999982.08510639,0.0,0.0,0.0,60000000.0,1891.336832928704,1864.5600000000002,0.0,0.0,19.3,-1.1,12.04,0.0
35,0.0,0.0,1.4787234042553192,1.3900000000000001,0.6382978723404256,0.6,8.829787234042552,8.3,-59999989.05319151,0.0,0.0,0.0,60000000.0,1891.3179195604705,1864.5600000000002,0.0,0.0,13.2,-0.9,12.04,0.0
36,0.0,0.0,1.4361702127659577,1.35,0.6382978723404256,0.6,8.936170212765958,8.4,-59999988.9893617,0.0,0.0,0.0,60000000.0,1891.299006381305,1864.5600000000002,0.0,0.0,13.2,-0.8,12.04,0.0
37,0.0,0.0,1.457446808510638,1.3699999999999999,0.6382978723404256,0.6,9.042553191489361,8.5,-59999988.86170213,0.0,0.0,0.0,60000000.0,1891.2800933912113,1864.5600000000002,0.0,0.0,13.2,-0.7,12.04,0.0
38,0.0,0.0,1.574468085106383,1.48,0.6382978723404256,0.6,11.063829787234043,10.4,-59999986.72340426,0.0,0.0,0.0,60000000.0,1891.2611805903725,1864.5600000000002,0.0,0.0,15.3,-0.9,12.04,0.0
39,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,12.446808510638295,11.7,-59999985.861702144,0.0,0.0,0.0,60000000.0,1891.2422679784715,1864.5600000000002,0.0,0.0,16.3,-0.9,12.04,0.0
40,0.0,0.0,1.0531914893617023,0.99,0.5319148936170213,0.5,13.404255319148936,12.6,-59999985.0106383,0.0,0.0,0.0,60000000.0,1891.223355555907,1864.5600000000002,0.0,0.0,16.3,-0.9,12.04,0.0
