LP,DP
2310.662566,2258.4
2311.397253,2259.8
2312.083949,2261.2
2312.695299,2262.6
2313.415452,2264
2314.136106,2265.4
2314.795292,2266.8
2315.457502,2268.2
2316.118996,2269.6
2316.732425,2271
2317.37416,2272.4
2318.094437,2273.8
2318.780861,2275.2
2319.573545,2276.6
2320.41512,2278.2
2321.280635,2279.8
2325.639862,2281.4
2333.116606,2283
2340.593274,2284.6
2348.069869,2286.2
2348.934923,2287.8
2349.804464,2289.4
2350.638334,2291
2351.418508,2292.4
2352.216543,2294
2353.124216,2295.6
2354.00557,2297.2
2354.81453,2298.8
2355.643072,2300.4
2356.501842,2302
2357.395747,2303.6
2358.385732,2305.2
2359.368063,2306.8
2360.223098,2308.4
2360.511882,2309.4
2361.053091,2310.6
2361.971066,2312.2
2363.035898,2314
2363.589895,2315.2
2364.487268,2316.8
2365.384026,2318.4
2366.270832,2320
2367.06288,2321.4
2367.23086,2322.2
2367.49089,2323.2
2367.676242,2324
2367.652565,2324.4
2372.599202,2324.4
2380.075476,2324.4
2387.551675,2323.2
2385.883307,2322.4
2383.325873,2320.6
2383.273625,2319.8
2383.249793,2319
2383.22596,2317.6
2383.202128,2317.6
2383.272011,2318.4
2383.608304,2319.4
2383.946269,2320.4
2384.262482,2321.4
2384.573147,2322.4
2384.886287,2323.4
2384.862438,2321.6
2385.059238,2322.6
2385.579734,2323.8
2386.440017,2325.4
2386.416153,2324.2
2386.392289,2322.6
2386.368425,2321.2
2386.344561,2321.2
2386.320698,2320.2
2387.389072,2322
2387.365198,2322
2387.341324,2321.8
2387.317451,2321.2
2387.293578,2321.6
2387.269705,2321.4
2387.245832,2320.6
2387.22196,2319.6
2387.198087,2319.4
2387.174215,2318.8
2387.150344,2318
2387.126472,2317.8
2387.102601,2317.6
2387.07873,2317.4
2387.054859,2316.8
2387.030989,2316.6
2387.007118,2317.2
2387.928079,2318.8
2388.930812,2320.6
2390.320224,2322.6
2391.680049,2324.6
2392.905446,2326.6
2393.788842,2328.2
2394.54297,2329.6
2395.164872,2331
2395.670525,2332.2
2396.252828,2333.4
2397.024874,2334.8
2397.780352,2336.2
2398.244563,2337.4
2398.22058,2338
2398.728868,2339.2
2398.993568,2340.2
2399.866896,2341.8
2400.879161,2343.6
2401.83767,2345.2
2405.762461,2346.8
2413.238403,2348.4
2420.714271,2350.2
2421.676627,2351.8
2422.515135,2353.4
2423.307483,2354.8
2424.039699,2356.2
2424.434153,2357.4
2424.409908,2358
2424.385664,2358.6
2424.563718,2359.4
2425.388166,2361
2426.101566,2362.4
2426.974455,2364
2427.507174,2365.2
2428.534086,2367
2429.62114,2368.8
2430.763399,2370.6
2431.853026,2372.4
2432.996455,2374.2
2434.093481,2376
2435.140512,2377.8
2436.162669,2379.6
2437.303513,2381.4
2438.478694,2383.2
2439.625342,2385
2440.734506,2386.8
2441.882227,2388.6
2443.03079,2390.4
2448.526356,2392.4
2456.001871,2394.2
2463.477311,2396
2470.952676,2397.8
2471.968528,2399.6
2472.445171,2400.8
2473.434712,2402.4
2475.442552,2405.2
2477.495915,2408
2479.473692,2410.6
2481.295529,2413.2
2483.138312,2415.8
2485.024686,2418.4
2487.054333,2421.2
2489.058897,2424
2491.00054,2426.6
2492.989966,2429.2
2494.935599,2431.8
2496.913117,2434.4
2498.959831,2437.2
2501.046066,2440
2503.069902,2442.8
2505.000826,2445.4
2506.783482,2447.8
2508.649743,2450.4
2510.513931,2453
2512.419094,2455.6
2514.228237,2458.2
2516.059552,2460.8
2518.522998,2463.4
2525.997813,2466
2533.472553,2468.6
2540.947218,2471
2548.421808,2473.2
2550.044778,2475.6
2552.032238,2478.2
2554.114891,2481
2556.416596,2484
2558.637119,2487
2560.765015,2489.8
2562.789056,2492.6
2564.901295,2495.4
2566.680699,2497.8
2568.928874,2500.8
2571.176696,2503.8
2573.072397,2506.4
2575.077217,2509.2
2577.247933,2512
2579.461295,2515
2580.883317,2517.2
2582.280403,2519.4
2583.548964,2521.4
2584.761854,2523.4
2586.071509,2525.4
2587.339844,2527.4
2588.568563,2529.4
2589.840061,2531.4
2591.226671,2533.4
2592.483886,2535.4
2593.54134,2537.2
2598.873547,2539
2606.347559,2540.8
2613.821495,2542.6
2621.295357,2544.4
2622.033031,2545.8
2622.955984,2547.4
2623.853671,2549
2624.622829,2550.4
2625.046611,2551.6
2625.436947,2552.6
2625.754446,2553.6
2626.006347,2554.6
2626.390865,2555.6
2626.620056,2556.6
2626.683825,2557.4
2626.876047,2558.4
2626.907134,2559.2
2626.92274,2560
2626.896471,2560.4
2626.870202,2561
2626.843933,2561.2
2626.872362,2562
2626.902258,2562.8
2626.886236,2563.4
2626.916445,2564.2
2627.05878,2565
2627.225174,2565.8
2627.340893,2566.6
2627.413519,2567.4
2627.387245,2568
2627.360971,2568.6
2634.452149,2569.2
2641.925805,2569.8
2649.399385,2570.4
2649.372891,2571
2649.346398,2571.4
2650.966761,2573.8
2652.696329,2576.2
2654.475533,2578.6
2656.285314,2581.2
2657.213121,2582.8
2657.936282,2584.2
2658.48615,2585.4
2659.070236,2586.6
2659.509471,2587.8
2659.82143,2588.8
2659.90318,2589.6
2659.876581,2590.2
2659.849982,2590.6
2659.823384,2590.8
2659.796786,2591
2659.770188,2591.2
2659.74359,2591.6
2659.716993,2590
2659.690395,2590.4
2660.21048,2591.6
2660.810571,2593
2661.367295,2594.2
2661.918412,2595.4
2662.403767,2596.6
2662.792701,2597.6
2667.891591,2598.8
2675.364912,2600
2682.838158,2601.2
2683.437192,2602.6
2684.030691,2604
2684.553748,2605.2
2685.113172,2606.4
2685.78312,2607.8
2686.34827,2609
2686.834108,2610.2
2687.248233,2611.4
2687.357007,2612.2
2687.55844,2613.2
2687.82421,2614.2
2688.141411,2615.2
2688.461726,2616.2
2688.861972,2617.4
2689.289376,2618.6
2689.677513,2619.6
2690.225187,2620.8
2690.849434,2622.2
2691.536705,2623.6
2692.173999,2625
2692.769376,2626.4
2693.327611,2627.6
2693.970447,2629
2694.605856,2630.4
2695.039194,2631.6
2695.464998,2632.8
2698.109796,2633.8
2705.582815,2634.8
2713.055759,2636
2720.528628,2637.2
2720.501423,2637.2
2720.474218,2637.2
2720.447013,2637.2
2720.419809,2637.2
2720.392604,2637.2
2720.365401,2637.2
2720.338197,2637.2
2720.310993,2637.2
2720.28379,2637.2
2720.256588,2637.2
2720.229385,2637.2
2720.202183,2637.2
2720.174981,2637.2
2720.147779,2637.2
2720.120577,2637.2
2720.093376,2637.2
2720.066175,2637.2
2720.038975,2637.2
2720.011774,2637.2
2719.984574,2637.2
2719.957374,2637.2
2719.930175,2637.2
2719.902975,2637.2
2719.875776,2637.2
2719.848578,2637.2
2719.821379,2637.2
2719.794181,2637.2
2719.766983,2637.2
2719.739785,2637.2
2719.712588,2637
2712.185391,2635.8
2704.658269,2634.2
2697.131222,2631.2
2689.604251,2630
2682.077355,2627.4
2674.550534,2626
2667.023789,2624
2659.497118,2622
2651.970524,2620.6
2644.444004,2619.6
2636.917559,2618.4
2629.39119,2617.2
2621.864896,2616.2
2614.338678,2615.2
2606.812534,2614.2
2599.286466,2613.4
2591.760473,2612.6
2584.234556,2612
2576.708713,2611.2
2569.182946,2611.2
2561.657254,2611.2
2554.131638,2611.2
2546.606096,2611.2
2539.08063,2611
2531.55524,2610.6
2524.029924,2610.6
2516.504684,2610.4
2508.979519,2610.2
2501.454429,2610.2
2493.929414,2610.2
2486.404475,2603
2478.879611,2595.8
2471.354822,2588.4
2463.830109,2581
2456.30547,2573.6
2448.780907,2566.2
2441.25642,2558.8
2433.732007,2551.4
2426.20767,2544.2
2418.683408,2536.8
2411.159221,2529.4
2403.635109,2522.2
2396.111073,2515
2388.587112,2507.6
2381.063226,2500.2
2373.539415,2492.8
2366.01568,2485.4
2358.49202,2478
2350.968435,2470.6
2343.444925,2463.2
2335.921491,2456
2328.398131,2448.8
2320.874847,2441.4
2313.351639,2434
2305.828505,2426.6
2298.305447,2419.2
2290.782464,2411.8
2283.259556,2404.4
