k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,sSL,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL
65,0.0,0.0,1.1595744680851063,1.09,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,9.042553191489361,8.5,2456.29490547153,2440.38,0.0,9.042553191489361,10.3,-0.3,5.0
66,0.0,0.0,1.1170212765957448,1.05,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.110457220461749,8.563829787234043,2456.14060822295,2440.38,0.0,9.110457220461749,11.3,-0.1,5.0
67,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.649615210502489,10.01063829787234,2455.9606584955,2440.38,0.0,10.649615210502489,13.3,-0.2,5.0
68,0.0,0.0,1.8404255319148937,1.73,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,11.23811679492983,10.56382978723404,2455.7709005882593,2440.38,0.0,11.23811679492983,12.3,-0.3,5.0
69,0.0,0.0,1.3510638297872342,1.27,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,9.019918515165234,8.47872340425532,2455.618112842106,2440.38,0.0,9.019918515165234,10.2,-0.4,5.0
70,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.725667722951561,8.202127659574467,2455.4702294286103,2440.38,0.0,8.725667722951561,11.3,-0.8,5.0
71,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,8.96333182435491,8.425531914893616,2455.3183850946416,2440.38,0.0,8.96333182435491,10.2,-0.8,5.0
72,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,7.872340425531915,7.4,0.0,0.0,0.0,0.0,10.230873698506112,9.617021276595745,2455.1454152146143,2440.38,0.0,10.230873698506112,12.2,-1.0,5.0
73,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.660932548664553,10.02127659574468,2454.965277860055,2440.38,0.0,10.660932548664553,12.3,-0.6,5.0
74,0.0,0.0,1.0425531914893618,0.9800000000000001,0.6382978723404256,0.6,7.234042553191489,6.8,0.0,0.0,0.0,0.0,9.483929379809867,8.914893617021276,2454.8047574051134,2440.38,0.0,9.483929379809867,12.3,0.2,5.0
75,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,7.234042553191489,6.8,0.0,0.0,0.0,0.0,9.551833408782253,8.97872340425532,2454.643105376876,2440.38,0.0,9.551833408782253,11.3,0.3,5.0
76,0.0,0.0,1.3510638297872342,1.27,0.6382978723404256,0.6,7.446808510638298,7.0,0.0,0.0,0.0,0.0,10.038478949751019,9.436170212765957,2454.4733427512747,2440.38,0.0,10.038478949751019,10.3,0.0,5.0
77,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,7.446808510638298,7.0,0.0,0.0,0.0,0.0,9.721593481213219,9.138297872340427,2454.3088617199114,2440.38,0.0,9.721593481213219,10.3,-0.4,5.0
78,0.0,0.0,1.0957446808510638,1.03,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.672249886826618,10.03191489361702,2454.1285365796025,2440.38,0.0,10.672249886826618,12.3,-0.5,5.0
79,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,10.400633770937075,9.776595744680849,2453.9527385548836,2440.38,0.0,10.400633770937075,12.3,0.1,5.0
80,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,6.382978723404255,6.0,0.0,0.0,0.0,0.0,8.623811679492983,8.106382978723405,2453.806554407487,2440.38,0.0,8.623811679492983,10.2,0.2,5.0
81,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,8.827523766410138,8.297872340425531,2453.656975204826,2440.38,0.0,8.827523766410138,10.2,0.4,5.0
82,0.0,0.0,1.0319148936170213,0.97,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,8.90674513354459,8.372340425531915,2453.506075795625,2440.38,0.0,8.90674513354459,11.3,0.0,5.0
83,0.0,0.0,1.1170212765957448,1.05,0.6382978723404256,0.6,7.9787234042553195,7.5,0.0,0.0,0.0,0.0,10.355364418288818,9.73404255319149,2453.331032882578,2440.38,0.0,10.355364418288818,11.3,0.4,5.0
84,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.638297872340425,10.000000000000002,2453.151274587006,2440.38,0.0,10.638297872340425,12.3,0.6,5.0
85,0.0,0.0,2.159574468085107,2.0300000000000002,0.6382978723404256,0.6,8.936170212765958,8.4,0.0,0.0,0.0,0.0,12.483023992756905,11.73404255319149,2452.9407710358523,2440.38,0.0,12.483023992756905,12.3,0.5,5.0
86,0.0,0.0,2.212765957446808,2.08,0.6382978723404256,0.6,7.127659574468084,6.7,0.0,0.0,0.0,0.0,10.615663196016296,9.97872340425532,2452.7613903751476,2440.38,0.0,10.615663196016296,12.3,0.6,5.0
87,0.0,0.0,1.0106382978723403,0.9499999999999998,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,8.770937075599818,8.24468085106383,2452.612755329164,2440.38,0.0,8.770937075599818,12.4,0.5,5.0
88,0.0,0.0,1.3617021276595744,1.28,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.370755998189228,8.808510638297873,2452.454123449772,2440.38,1.0,9.370755998189228,11.3,0.0,5.0
89,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,8.617021276595743,8.1,0.0,0.0,0.0,0.0,10.989135355364418,10.329787234042552,2452.2685187397256,2440.38,0.0,10.989135355364418,12.3,-0.1,5.0
90,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,10.4232684472612,9.79787234042553,2452.092345330419,2440.38,1.0,10.4232684472612,12.3,-0.2,5.01
91,0.0,0.0,1.8404255319148937,1.73,0.6382978723404256,0.6,6.382978723404255,6.0,0.0,0.0,0.0,0.0,9.427342688999548,8.861702127659575,2451.932770859924,2440.38,0.0,9.427342688999548,11.3,-0.1,5.01
92,0.0,0.0,1.8085106382978722,1.7,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,9.619737437754639,9.042553191489361,2451.7699899698573,2440.38,0.0,9.619737437754639,11.3,-0.2,5.01
93,0.0,0.0,1.797872340425532,1.69,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,9.721593481213217,9.138297872340425,2451.605511641847,2440.38,0.0,9.721593481213217,11.3,0.0,5.01
94,0.0,0.0,1.1702127659574468,1.1,0.6382978723404256,0.6,7.76595744680851,7.3,0.0,0.0,0.0,0.0,10.185604345857854,9.574468085106384,2451.433299963904,2440.38,0.0,10.185604345857854,12.3,-0.1,5.01
95,0.0,0.0,1.2340425531914894,1.16,0.6382978723404256,0.6,8.191489361702128,7.699999999999999,0.0,0.0,0.0,0.0,10.70620190131281,10.063829787234042,2451.252411832249,2440.38,0.0,10.70620190131281,12.3,-0.2,5.01
96,0.0,0.0,1.202127659574468,1.1300000000000001,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,10.559076505205972,9.925531914893616,2451.073975971417,2440.38,0.0,10.559076505205972,12.4,-0.2,5.01
97,0.0,0.0,1.1702127659574468,1.1,0.6382978723404256,0.6,7.127659574468084,6.7,0.0,0.0,0.0,0.0,9.506564056133996,8.936170212765957,2450.913082163172,2440.38,0.0,9.506564056133996,11.3,-0.2,5.01
98,0.0,0.0,1.1914893617021276,1.1199999999999999,0.6382978723404256,0.6,7.446808510638298,7.0,0.0,0.0,0.0,0.0,9.868718877320054,9.27659574468085,2450.7461526021343,2440.38,0.0,9.868718877320054,11.3,-0.3,5.01
99,0.0,0.0,1.2127659574468086,1.1400000000000001,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.212313263920327,8.659574468085108,2450.590163301583,2440.38,0.0,9.212313263920327,11.3,-0.6,5.01
100,0.0,0.0,3.5106382978723403,3.3,0.6382978723404256,0.6,8.723404255319148,8.2,0.0,0.0,0.0,0.0,13.69397917609778,12.872340425531915,2450.3594797251512,2440.38,0.0,13.69397917609778,13.4,-0.5,5.01
101,0.0,0.0,3.4574468085106385,3.25,0.6382978723404256,0.6,8.936170212765958,8.4,0.0,0.0,0.0,0.0,13.863739248528747,13.031914893617023,2450.1259670448626,2440.38,0.0,13.863739248528747,14.4,-0.6,5.01
102,0.0,0.0,3.425531914893617,3.22,0.6382978723404256,0.6,6.382978723404255,6.0,0.0,0.0,0.0,0.0,11.113626075147126,10.446808510638299,2449.9382898176427,2412.96,0.0,11.113626075147126,13.4,-0.7,5.01
103,0.0,0.0,4.1063829787234045,3.8600000000000003,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,11.951109099139881,11.23404255319149,2449.7366547277006,2412.96,0.0,11.951109099139881,13.4,-0.7,5.01
104,0.0,0.0,1.8510638297872335,1.7399999999999998,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,9.77818017202354,9.191489361702128,2449.571235321512,2412.96,0.0,9.77818017202354,11.3,-0.7,5.01
105,0.0,0.0,1.797872340425532,1.69,0.6382978723404256,0.6,7.659574468085108,7.2,0.0,0.0,0.0,0.0,10.740153915799004,10.095744680851064,2449.3897831850136,2412.96,0.0,10.740153915799004,12.3,-0.7,5.01
106,0.0,0.0,3.4680851063829787,3.2600000000000002,0.6382978723404256,0.6,8.51063829787234,8.0,0.0,0.0,0.0,0.0,13.422363060208239,12.617021276595745,2449.163627744227,2412.96,0.0,13.422363060208239,14.4,-0.7,5.01
107,0.0,0.0,4.01063829787234,3.7700000000000005,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,13.773200543232232,12.946808510638299,2448.9316252382123,2412.96,0.0,13.773200543232232,14.4,-0.6,5.01
108,0.0,0.0,4.000000000000001,3.7600000000000007,0.6382978723404256,0.6,6.382978723404255,6.0,0.0,0.0,0.0,0.0,11.724762335898596,11.021276595744682,2448.733763600989,2412.96,0.0,11.724762335898596,13.4,-0.5,5.01
109,0.0,0.0,6.308510638297872,5.93,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,14.406971480307831,13.542553191489361,2448.4911986758866,2412.96,0.0,14.406971480307831,15.399999999999999,-0.5,5.01
