k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
6606,51,7,0,1802.961372,-27.9804,25.22,0,14,14
6607,16,8,0,1802.959569,0,25.22,0,16,7.3664
6608,21,7,0,1802.957766,0,25.22,0,14,13.1684
6609,8,7,0,1802.955963,0,25.22,0,14,0.6832
6610,1,7,0,1799.809845,6.288629738,25.22,0,14,0
6611,0,6,0,1796.684347,6.247396918,25.22,0,12,0
6612,0,6,0,1793.558852,6.247396918,25.22,0,12,0
6613,0,7,0,1789.912743,7.288629738,25.22,0,14,0
6614,0,6,0,1786.787255,6.247396918,25.22,0,12,0
6615,0,6,0,1783.66177,6.247396918,25.22,0,12,0
6616,0,7,0,1780.015671,7.288629738,25.22,0,14,0
6617,0,5,0,1777.410809,5.206164098,25.22,0,10,0
6618,0,6,0,1774.285333,6.247396918,25.22,0,12,0
6619,0,6,0,1771.159861,6.247396918,25.22,0,12,0
6620,0,6,0,1768.034391,6.247396918,25.22,0,12,0
6621,0,7,0,1764.388308,7.288629738,25.22,0,14,0
6622,0,6,0,1761.262845,6.247396918,25.22,0,12,0
6623,0,6,0,1758.137385,6.247396918,25.22,0,12,0
6624,0,6,0,1755.011929,6.247396918,25.22,0,12,0
6625,0,6,0,1751.886475,6.247396918,25.22,0,12,0
6626,0,7,0,1748.240409,7.288629738,25.22,0,14,0
6627,0,5,0,1745.635578,5.206164098,25.22,0,10,0
6628,0,5,0,1743.030751,5.206164098,25.22,0,10,0
6629,0,5,0,1740.425926,5.206164098,25.22,0,10,0
6630,0,6,0,1737.300487,6.247396918,25.22,0,12,0
6631,0,5,0,1734.695667,5.206164098,25.22,0,10,0
6632,0,5,0,1732.090851,5.206164098,25.22,0,10,0
6633,0,5,0,1729.486036,5.206164098,25.22,0,10,0
6634,0,6,0,1726.360609,6.247396918,25.22,0,12,0
6635,0,5,0,1723.7558,5.206164098,25.22,0,10,0
6636,3,6,0,1722.130378,3.247396918,25.22,0,12,0
6637,19,6,0,1722.252456,-0.2476,25.22,0,12,12
6638,33,7,0,1727.597334,-10.6932,25.22,0,14,14
6639,46,6,0,1740.684806,-26.1784,25.22,0,12,12
6640,58,8,0,1756.534665,-31.7032,25.22,0,16,16
6641,66,21,0,1756.726109,-0.3864,25.22,0,42,42
