k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
31,0.0,0.0,0.9897959183673468,0.97,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.85266399998727,23.375610719987524,2455.2000000000003,2440.38,0.0,23.85266399998727,11.3,-1.5,5.0,0.0,0.0
32,0.0,0.0,2.071428571428572,2.0300000000000002,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,23.85268800000631,23.375634240006185,2454.8,2440.38,0.0,23.85268800000631,12.2,-1.4,5.0,0.0,0.0
33,0.0,0.0,2.0816326530612246,2.04,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,23.852711999998064,23.375657759998102,2454.4,2440.38,0.0,23.852711999998064,14.3,-1.5,5.0,0.0,0.0
34,0.0,0.0,2.0510204081632653,2.0100000000000002,0.6122448979591837,0.6,8.36734693877551,8.2,0.0,0.0,0.0,23.852735999989818,23.375681279990022,2454.0,2440.38,0.0,23.852735999989818,12.2,-1.3,5.0,0.0,0.0
35,0.0,0.0,0.9693877551020407,0.9499999999999998,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.852760000008857,23.375704800008677,2453.6,2440.38,0.0,23.852760000008857,10.2,-1.2,5.0,0.0,0.0
36,0.0,0.0,1.9795918367346936,1.94,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,23.852783999973326,23.375728319973856,2453.2000000000003,2440.38,0.0,23.852783999973326,10.2,-1.1,5.0,0.0,0.0
37,0.0,0.0,1.0714285714285716,1.05,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.852807999992365,23.375751839992517,2452.8,2440.38,0.0,23.852807999992365,11.2,-1.2,5.0,0.0,0.0
38,0.0,0.0,1.0510204081632653,1.03,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.852832000011404,23.375775360011176,2452.4,2440.38,0.0,23.852832000011404,12.3,-1.2,5.0,0.0,0.0
39,0.0,0.0,1.0714285714285716,1.05,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.852856000003158,23.375798880003092,2452.0,2440.38,0.0,23.852856000003158,12.2,-1.0,5.0,0.0,0.0
40,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85287999999491,23.375822399995016,2451.6,2440.38,0.0,23.85287999999491,10.2,-0.6,5.0,0.0,0.0
41,0.0,0.0,1.0204081632653061,1.0,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.852903999986665,23.375845919986933,2451.2000000000003,2440.38,0.0,23.852903999986665,10.2,-0.6,5.0,0.0,0.0
42,0.0,0.0,1.0204081632653061,1.0,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.852928000005704,23.37586944000559,2450.8,2440.38,0.0,23.852928000005704,10.2,-0.8,5.0,0.0,0.0
43,0.0,0.0,1.0000000000000002,0.9800000000000001,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.852951999997458,23.375892959997508,2450.4,2440.38,0.0,23.852951999997458,11.2,-0.7,5.0,0.0,0.0
44,0.0,0.0,0.9897959183673468,0.97,0.6122448979591837,0.6,8.36734693877551,8.2,0.0,0.0,0.0,23.852975999989212,23.375916479989424,2450.0,2440.38,0.0,23.852975999989212,12.3,-0.8,5.0,0.0,0.0
45,0.0,0.0,1.0510204081632653,1.03,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85300000000825,23.375940000008086,2449.6,2440.38,0.0,23.85300000000825,12.3,-0.8,5.0,0.0,0.0
46,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,7.040816326530613,6.9,0.0,0.0,0.0,23.85302399997272,23.375963519973265,2449.2000000000003,2440.38,0.0,23.85302399997272,10.2,-0.9,5.0,0.0,0.0
47,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.85304799999176,23.375987039991923,2448.8,2440.38,0.0,23.85304799999176,10.2,-0.9,5.0,0.0,0.0
48,0.0,0.0,1.0000000000000002,0.9800000000000001,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.853072000010798,23.376010560010585,2448.4,2440.38,0.0,23.853072000010798,10.2,-0.6,5.0,0.0,0.0
49,0.0,0.0,1.0000000000000002,0.9800000000000001,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.85309600000255,23.3760340800025,2448.0,2440.38,0.0,23.85309600000255,11.3,-0.6,5.0,0.0,0.0
50,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,8.16326530612245,8.0,0.0,0.0,0.0,23.853119999994306,23.376057599994418,2447.6,2440.38,0.0,23.853119999994306,12.3,-0.6,5.0,0.0,0.0
51,0.0,0.0,1.0408163265306123,1.02,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.85314399998606,23.37608111998634,2447.2000000000003,2440.38,0.0,23.85314399998606,12.2,-0.8,5.0,0.0,0.0
52,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.8531680000051,23.376104640004993,2446.8,2440.38,1.0,23.8531680000051,10.2,-1.1,5.0,0.0,0.0
53,0.0,0.0,1.0408163265306123,1.02,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.853191999996852,23.376128159996917,2446.4,2440.38,0.0,23.853191999996852,10.2,-1.1,5.0,0.0,0.0
54,0.0,0.0,1.3265306122448979,1.3,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.853215999988606,23.376151679988833,2446.0,2440.38,0.0,23.853215999988606,10.2,-1.0,5.0,0.0,0.0
55,0.0,0.0,1.5612244897959187,1.53,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,23.853240000007645,23.37617520000749,2445.6,2440.38,0.0,23.853240000007645,12.3,-0.7,5.0,0.0,0.0
56,0.0,0.0,1.6122448979591837,1.58,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.853263999972114,23.37619871997267,2445.2000000000003,2440.38,0.0,23.853263999972114,13.2,-1.1,5.0,0.0,0.0
57,0.0,0.0,1.6122448979591837,1.58,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.853287999991153,23.37622223999133,2444.8,2440.38,-1.0,23.853287999991153,12.3,-1.4,5.0,0.0,0.0
58,0.0,0.0,1.5306122448979593,1.5,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.85331200001019,23.376245760009986,2444.4,2440.38,0.0,23.85331200001019,12.3,-1.5,5.0,0.0,0.0
