k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
67,0.0,0.0,1.5425531914893618,1.45,0.6382978723404256,0.6,10.425531914893618,9.8,47.71276595744391,35.106382978720504,32.99999999999727,0.0,0.0,1929.3500000000001,1864.5600000000002,0.0,-32.99999999999727,16.3,-0.8,10.76
68,0.0,0.0,1.2127659574468088,1.1400000000000001,0.6382978723404256,0.6,14.042553191489361,13.2,47.80851063829787,31.914893617021278,30.0,0.0,0.0,1929.8500000000001,1864.5600000000002,1.0,-30.0,17.3,-0.6,10.76
69,0.0,0.0,1.202127659574468,1.1300000000000001,0.6382978723404256,0.6,14.46808510638298,13.6,48.22340425531915,31.914893617021278,30.0,0.0,0.0,1930.3500000000001,1864.5600000000002,0.0,-30.0,18.3,-0.7,10.76
70,0.0,0.0,1.2446808510638299,1.17,0.6382978723404256,0.6,10.74468085106383,10.1,47.73404255318859,35.106382978720504,32.99999999999727,0.0,0.0,1930.9,1864.5600000000002,0.0,-32.99999999999727,13.2,-0.9,10.76
71,0.0,0.0,1.2553191489361704,1.1800000000000002,0.6382978723404256,0.6,9.148936170212767,8.6,49.3404255319091,38.29787234041973,35.99999999999454,0.0,0.0,1931.5,1864.5600000000002,0.0,-35.99999999999454,13.2,-1.0,10.76
72,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,9.361702127659575,8.8,49.40425531915764,38.29787234043424,36.000000000008185,0.0,0.0,1932.1000000000001,1864.5600000000002,0.0,-36.000000000008185,13.2,-0.8,10.76
73,0.0,0.0,1.148936170212766,1.08,0.6382978723404256,0.6,10.106382978723405,9.5,46.999999999997094,35.106382978720504,32.99999999999727,0.0,0.0,1932.65,1864.5600000000002,1.0,-32.99999999999727,15.3,-0.7,10.76
74,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,16.276595744680854,15.3,49.89361702127659,31.914893617021278,30.0,0.0,0.0,1933.15,1864.5600000000002,0.0,-30.0,19.4,-0.7,10.76
75,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,19.574468085106382,18.4,46.85106382979304,25.531914893622826,24.000000000005457,0.0,0.0,1933.5500000000002,1864.5600000000002,-1.0,-24.000000000005457,21.4,-0.7,10.76
76,0.0,0.0,1.095744680851064,1.03,0.6382978723404256,0.6,17.02127659574468,16.0,47.478723404243716,28.72340425530754,26.999999999989086,0.0,0.0,1934.0,1864.5600000000002,0.0,-26.999999999989086,18.4,-0.4,10.76
77,0.0,0.0,2.202127659574468,2.07,0.5319148936170213,0.5,9.148936170212767,8.6,46.98936170213928,35.10638297873501,33.000000000010914,0.0,0.0,1934.5500000000002,1864.5600000000002,0.0,-33.000000000010914,12.2,-0.3,10.76
78,0.0,0.0,2.159574468085107,2.0300000000000002,0.5319148936170213,0.5,9.787234042553191,9.2,47.585106382975816,35.106382978720504,32.99999999999727,0.0,0.0,1935.1000000000001,1864.5600000000002,0.0,-32.99999999999727,14.3,-0.3,10.76
79,0.0,0.0,2.180851063829787,2.05,0.5319148936170213,0.5,9.787234042553191,9.2,47.606382978720504,35.106382978720504,32.99999999999727,0.0,0.0,1935.65,1864.5600000000002,0.0,-32.99999999999727,15.3,-0.1,10.76
