k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
36,0.0,0.0,1.4361702127659577,1.35,0.6382978723404256,0.6,8.936170212765958,8.4,49.308510638306586,38.29787234043424,36.000000000008185,0.0,0.0,1912.3500000000001,1864.5600000000002,0.0,-36.000000000008185,13.2,-0.8,12.04
37,0.0,0.0,1.457446808510638,1.3699999999999999,0.6382978723404256,0.6,9.042553191489361,8.5,49.43617021276016,38.29787234041973,35.99999999999454,0.0,0.0,1912.95,1864.5600000000002,0.0,-35.99999999999454,13.2,-0.7,12.04
38,0.0,0.0,1.574468085106383,1.48,0.6382978723404256,0.6,11.063829787234043,10.4,48.38297872340135,35.106382978720504,32.99999999999727,0.0,0.0,1913.5,1864.5600000000002,0.0,-32.99999999999727,15.3,-0.9,12.04
39,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,12.446808510638297,11.7,49.24468085107544,35.10638297873501,33.000000000010914,0.0,0.0,1914.0500000000002,1864.5600000000002,0.0,-33.000000000010914,16.3,-0.9,12.04
40,0.0,0.0,1.0531914893617023,0.99,0.5319148936170213,0.5,13.404255319148938,12.6,46.90425531914893,31.914893617021278,30.0,0.0,0.0,1914.5500000000002,1864.5600000000002,0.0,-30.0,16.3,-0.9,12.04
41,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,12.553191489361703,11.8,49.38297872340135,35.106382978720504,32.99999999999727,0.0,0.0,1915.1000000000001,1864.5600000000002,0.0,-32.99999999999727,16.3,-0.8,12.04
42,0.0,0.0,0.9893617021276597,0.93,0.6382978723404256,0.6,8.829787234042554,8.3,48.75531914893037,38.29787234041973,35.99999999999454,0.0,0.0,1915.7,1864.5600000000002,0.0,-35.99999999999454,12.2,-0.5,12.04
43,0.0,0.0,0.9787234042553191,0.9199999999999999,0.6382978723404256,0.6,8.829787234042554,8.3,48.744680851072545,38.29787234043424,36.000000000008185,0.0,0.0,1916.3000000000002,1864.5600000000002,0.0,-36.000000000008185,12.2,-0.3,12.04
44,0.0,0.0,0.9574468085106385,0.9,0.6382978723404256,0.6,10.95744680851064,10.3,47.659574468082205,35.106382978720504,32.99999999999727,0.0,0.0,1916.8500000000001,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.3,12.04
45,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,11.170212765957446,10.5,47.88297872340135,35.106382978720504,32.99999999999727,0.0,0.0,1917.4,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.1,12.04
