k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,s,v,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation
27,0.0,0.0,2.2653061224489797,2.2199999999999998,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,0.0,10.224906289046231,10.020408163265307,1502.4327126453268,1508.1000000000001,1.0,10.224906289046231,11.3,-1.0
28,0.0,0.0,2.2857142857142856,2.2399999999999998,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,0.0,10.245730945439401,10.040816326530614,1502.2604480301902,1508.1000000000001,0.0,10.245730945439401,12.4,-1.0
29,0.0,0.0,1.704081632653061,1.67,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,9.027488546438983,8.846938775510203,1502.1084876273014,1508.1000000000001,-1.0,9.027488546438983,12.3,-1.1
30,0.0,0.0,1.7448979591836737,1.7100000000000002,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,0.0,9.798000832986254,9.60204081632653,1501.9436855049307,1508.1000000000001,2.0,9.798000832986254,11.3,-1.3
31,0.0,0.0,1.6632653061224492,1.6300000000000001,0.6122448979591837,0.6,8.979591836734693,8.8,0.0,0.0,0.0,0.0,11.484798000832987,11.255102040816325,1501.750770261231,1508.1000000000001,3.0,11.484798000832987,11.3,-1.3
32,0.0,0.0,1.7244897959183674,1.69,0.6122448979591837,0.6,8.877551020408163,8.7,0.0,0.0,0.0,0.0,11.443148688046648,11.214285714285715,1501.55854936566,1508.1000000000001,-2.0,11.443148688046648,13.4,-1.2
33,0.0,0.0,1.673469387755102,1.64,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.82923781757601,9.63265306122449,1501.3932271768176,1508.1000000000001,-1.0,9.82923781757601,13.4,-1.2
34,0.0,0.0,2.1530612244897966,2.1100000000000003,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.422740524781341,10.214285714285715,1501.2180134415107,1508.1000000000001,0.0,10.422740524781341,12.4,-1.1
35,0.0,0.0,2.0510204081632653,2.0100000000000002,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.318617242815494,10.112244897959183,1501.0445352694505,1508.1000000000001,0.0,10.318617242815494,12.3,-1.2
36,0.0,0.0,2.2653061224489797,2.2199999999999998,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,11.162015826738859,10.938775510204081,1500.8570006278028,1508.1000000000001,0.0,11.162015826738859,12.4,-1.1
37,0.0,0.0,1.7142857142857146,1.6800000000000002,0.6122448979591837,0.6,9.285714285714286,9.1,0.0,0.0,0.0,0.0,11.849229487713455,11.612244897959185,1500.6580126126735,1508.1000000000001,0.0,11.849229487713455,13.4,-1.0
38,0.0,0.0,1.4285714285714284,1.4,0.6122448979591837,0.6,9.183673469387756,9.0,0.0,0.0,0.0,0.0,11.453561016243231,11.224489795918366,1500.4656192710568,1508.1000000000001,-2.0,11.453561016243231,13.4,-0.8
39,0.0,0.0,1.469387755102041,1.44,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.620991253644315,9.428571428571429,1500.30376895121,1508.1000000000001,-2.0,9.620991253644315,13.3,-0.8
40,0.0,0.0,1.5,1.47,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.756351520199917,9.561224489795919,1500.139662788771,1508.1000000000001,0.0,9.756351520199917,11.3,-0.6
41,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,7.551020408163265,7.4,0.0,0.0,0.0,0.0,9.516867971678467,9.326530612244898,1499.9795481829135,1508.1000000000001,0.0,9.516867971678467,11.3,-0.7
42,0.0,0.0,1.153061224489796,1.1300000000000001,0.6122448979591837,0.6,8.36734693877551,8.2,0.0,0.0,0.0,0.0,10.339441899208664,10.13265306122449,1499.8057241717117,1508.1000000000001,1.0,10.339441899208664,11.3,-0.5
43,0.0,0.0,1.173469387755102,1.15,0.6122448979591837,0.6,10.408163265306122,10.2,0.0,0.0,0.0,0.0,12.442732194918785,12.193877551020408,1499.596845496072,1508.1000000000001,2.0,12.442732194918785,13.4,-0.5
44,0.0,0.0,1.1224489795918366,1.1,0.6122448979591837,0.6,10.204081632653061,10.0,0.0,0.0,0.0,0.0,12.182423990004164,11.938775510204081,1499.3923054993932,1508.1000000000001,1.0,12.182423990004164,13.4,-0.5
45,0.0,0.0,1.0918367346938773,1.0699999999999998,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,0.0,9.860474802165765,9.66326530612245,1499.2264648603848,1508.1000000000001,-2.0,9.860474802165765,12.4,-0.6
46,0.0,0.0,1.153061224489796,1.1300000000000001,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.402332361516036,9.214285714285715,1499.0682600945613,1508.1000000000001,-1.0,9.402332361516036,12.4,-0.7
