太陽光発電電力,系統購入電力,蓄電池MegaPower放電電力,工場全消費電力,6600/210-105V 75kVA 全体,6600/210V 300kVA 全体,6600/210V 500kVA 全体,No.1系特定負荷 商用電力,No.2系特定負荷 商用電力,No1太陽光PCS直流電力,No1太陽光PCS交流電力,No2太陽光PCS直流電力,No2太陽光PCS交流電力,日射量,直流電力の合計値,蓄電池,売買電単価,売買電価格(30分ごと),交流/直流,Unnamed: 21,Unnamed: 22,テクシード国府工場動力Tr,テクシード国府工場電灯Tr,テクシード国府工場全体,Unnamed: 26,Unnamed: 27
0.0,0,15.3,13.0,2.05,0.5,9.2,4.3,0.1,0,0,0,0,-0.1,0,68.0,10.76,18.01,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,13.4,1.06,0.5,11.2,4.4,0.1,0,0,0,0,0.0,0,68.0,10.76,20.0,0.0,,,0.0,3.0,3.0,,
0.0,0,16.4,14.8,1.04,0.5,12.5,4.4,0.1,0,0,0,0,0.0,0,68.0,10.76,29.47,0.0,,,0.0,3.0,3.0,,
0.0,0,15.3,14.0,1.02,0.5,13.3,4.4,0.1,0,0,0,0,0.0,0,68.0,10.76,29.47,0.0,,,0.0,3.0,3.0,,
0.0,0,16.3,14.4,1.1400000000000001,0.5,11.8,4.4,0.1,0,0,0,0,0.0,0,68.0,10.76,21.46,0.0,,,0.0,3.0,3.0,,
0.0,0,13.3,11.5,1.6600000000000001,0.5,8.6,4.4,0.1,0,0,0,0,-0.5,0,68.0,10.76,24.49,0.0,,,0.0,3.0,3.0,,
0.0,0,14.2,12.6,1.53,0.5,8.5,4.4,0.1,0,0,0,0,-0.7,0,68.0,10.76,25.12,0.0,,,0.0,3.0,3.0,,
0.0,0,15.3,13.1,1.45,0.5,10.4,4.4,0.1,0,0,0,0,-0.9,0,68.0,10.76,23.36,0.0,,,0.0,3.0,3.0,,
0.0,0,15.3,13.2,1.44,0.5,10.6,4.4,0.1,0,0,0,0,-0.9,0,68.0,10.76,26.57,0.0,,,0.0,4.0,4.0,,
0.0,0,15.3,13.2,1.45,0.5,11.7,4.4,0.1,0,0,0,0,-1.2,0,68.0,10.76,21.0,0.0,,,0.0,4.0,4.0,,
0.0,0,17.4,15.2,1.42,0.5,12.5,4.4,0.1,0,0,0,0,-1.4,0,68.0,10.76,19.34,0.0,,,0.0,4.0,4.0,,
0.0,0,17.4,16.4,1.46,0.5,13.7,4.5,0.1,0,0,0,0,-1.6,0,68.0,11.0,19.08,0.0,,,0.0,4.0,4.0,,
0.0,0,12.8,12.2,0.96,0.5,8.7,4.5,0.1,0,0,0,0,-1.8,0,68.0,11.0,17.36,0.0,,,0.0,4.0,4.0,,
0.0,0,14.3,12.7,0.96,0.5,10.4,4.6,0.1,0,0,0,0,-1.7,0,68.0,11.0,16.45,0.0,,,0.0,4.0,4.0,,
0.0,0,14.3,12.7,0.96,0.5,10.5,4.6,0.1,0,0,0,0,-1.6,0,68.0,11.0,15.17,0.0,,,0.0,4.0,4.0,,
0.0,0,14.2,11.4,0.97,0.5,10.7,4.6,0.1,0,0,0,0,-1.4,0,68.0,11.0,15.11,0.0,,,0.0,4.0,4.0,,
0.0,0,14.3,12.8,0.9800000000000001,0.5,10.6,4.6,0.1,0,0,0,0,-1.3,0,68.0,11.0,14.02,0.0,,,0.0,4.0,4.0,,
0.0,0,15.4,13.7,1.0,0.5,11.3,4.7,0.1,0,0,0,0,-1.3,0,68.0,11.0,12.68,0.0,,,0.0,3.0,4.0,,
0.0,0,17.4,16.7,1.1400000000000001,0.6,12.7,4.7,0.1,0,0,0,0,-1.2,0,68.0,11.0,12.09,0.0,,,0.0,5.0,5.0,,
0.0,0,15.3,13.8,1.05,0.6,11.3,4.7,0.1,0,0,0,0,-1.1,0,68.0,11.0,10.81,0.0,,,0.0,5.0,5.0,,
0.0,0,16.4,14.2,1.56,0.6,11.2,4.8,0.1,0,0,0,0,-1.1,0,68.0,11.0,10.19,0.0,,,0.0,4.0,4.0,,
0.0,0,16.3,12.6,1.6,0.6,11.2,4.6,0.1,0,0,0,0,-1.2,0,67.0,11.0,9.55,0.0,,,0.0,4.0,4.0,,
0.0,0,13.3,12.0,1.42,0.6,9.1,4.6,0.1,0,0,0,0,-1.4,0,67.0,11.0,9.81,0.0,,,0.0,4.0,4.0,,
0.0,0,15.3,13.1,1.47,0.6,10.2,4.6,0.1,0,0,0,0,-1.4,0,67.0,11.0,9.55,0.0,,,0.0,4.0,5.0,,
0.0,0,17.3,16.8,1.41,0.6,11.8,4.6,0.1,0,0,0,0,-1.3,0,67.0,11.0,9.55,0.0,,,0.0,5.0,5.0,,
0.0,0,20.4,18.1,1.35,0.6,15.4,4.6,0.1,0,0,0,0,-1.0,0,67.0,11.0,9.81,0.0,,,0.0,4.0,4.0,,
0.0,0,15.4,13.2,1.4300000000000002,0.6,10.4,4.6,0.1,0,0,0,0,-1.2,0,67.0,11.0,10.19,0.0,,,0.0,4.0,4.0,,
0.0,0,15.3,11.8,1.48,0.6,10.4,4.6,0.1,0,0,0,0,-1.0,0,67.0,11.0,9.81,0.0,,,0.0,3.0,3.0,,
0.0,0,13.3,11.8,1.45,0.6,8.8,4.6,0.1,0,0,0,0,-1.1,0,67.0,11.0,8.1,0.0,,,0.0,3.0,3.0,,
0.0,0,13.3,11.9,1.4300000000000002,0.6,9.1,4.6,0.1,0,0,0,0,-0.9,0,67.0,11.0,7.7,0.0,,,0.0,3.0,3.0,,
0.0,0,16.4,15.7,2.4699999999999998,0.6,10.1,4.6,0.1,0,0,0,0,-1.2,0,67.0,11.0,7.54,0.0,,,0.0,3.0,3.0,,
0.0,0,18.4,16.9,2.5,0.6,13.1,4.7,0.1,0,0,0,0,-1.0,0,67.0,11.0,7.37,0.0,,,0.0,3.0,4.0,,
0.0,0,18.4,16.7,1.48,0.6,13.9,4.7,0.1,0,0,0,0,-0.8,0,67.0,11.0,7.29,0.0,,,0.0,3.0,4.0,,
0.0,0,15.4,11.6,1.5,0.6,11.2,4.7,0.1,0,0,0,0,-1.0,0,67.0,11.0,7.37,0.0,,,0.0,3.0,4.0,,
